data,acoes_em_circulacao,empresa_chave,empresa,ticker,setor
2025-05-07,597742016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-07,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-09,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-10,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-16,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-17,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-20,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-28,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-29,590966016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-29,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-30,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-30,595128000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-31,595790976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-31,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-04,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-05,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-06,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-06,601272000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-07,590748992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-08,587577984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-10,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-11,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-21,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-21,609459008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-24,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-24,599686976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-06-28,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-01,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-02,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-03,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-03,597174976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-05,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-09,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-10,592966016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-11,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-11,594819008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-12,587614976,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-12,594908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-15,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-16,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-23,593971008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-23,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-25,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-26,587897024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-26,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-29,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-30,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-07-31,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-01,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-02,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-05,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-06,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-07,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-08,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-12,589408000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-08-12,587624000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
